code,name,time,netProfit ,netProfit Growth,eps,epsGrowth,interestRates,PE,dividendYield,payoutRatio,netAssetValue,currency,rate,year,month
02728,金泰能源控股,2019-12-01,-599.0,-70.33,-0.1816,-59.72,0.0,-0.82,0.0,0.0,0.0203,港元,1.0,2019,12
02738,華津國際控股,2015-12-01,114.0,126.61,0.253,126.51,0.0,0.0,0.0,0.0,0.0203,港元,1.1761,2015,12
02738,華津國際控股,2016-12-01,105.0,-7.91,0.1882,-25.59,0.082,0.0,0.0,43.57,0.9877,港元,1.11125,2016,12
02738,華津國際控股,2017-12-01,111.0,5.95,0.1851,-1.67,0.055,0.0,0.0,29.73,1.1734,港元,1.1989,2017,12
02738,華津國際控股,2018-12-01,7.0,-93.43,0.0122,-93.42,0.0,0.0,0.0,0.0,1.1119,港元,1.1386,2018,12
02738,華津國際控股,2019-12-01,21.0,181.34,0.0342,180.68,0.13,0.0,0.0,380.07,1.1119,港元,1.1175,2019,12
02768,佳源國際控股s,2015-12-01,330.0,54.77,0.2446,60.95,0.0,0.0,0.0,0.0,1.1119,港元,1.1761,2015,12
02768,佳源國際控股s,2016-12-01,901.0,173.0,0.5096,108.32,0.0,0.0,0.0,0.0,1.9085,港元,1.11125,2016,12
02768,佳源國際控股s,2017-12-01,1598.0,77.23,0.7685,50.8,0.19,0.0,0.0,24.72,3.3975,港元,1.1989,2017,12
02768,佳源國際控股s,2018-12-01,2545.0,59.28,0.6503,-15.39,0.21,0.0,0.0,32.29,4.1112,港元,1.1386,2018,12
02768,佳源國際控股s,2019-12-01,2292.0,-9.94,0.5814,-10.58,0.11,0.0,0.0,18.91,2.7934,港元,1.1175,2019,12
02772,中梁控股s,2016-12-01,-187.0,-9.94,0.0,-10.58,0.0,0.0,0.0,18.91,2.7934,港元,1.1113,2016,12
02772,中梁控股s,2017-12-01,603.0,-9.94,0.0,-10.58,0.0,0.0,0.0,18.91,2.7934,港元,1.1989,2017,12
02772,中梁控股s,2018-12-01,2199.0,264.89,0.0,-10.58,0.0,0.0,0.0,18.91,2.7934,港元,1.1386,2018,12
02772,中梁控股s,2019-12-01,4284.0,94.82,1.3075,-10.58,0.481,0.0,0.0,36.79,2.7934,港元,1.1175,2019,12
02772,中梁控股s,,,,,,,,,,,,,,
