code,name,price
00234,新世紀集團,0.0
00235,中策集團,0.022000000000000002
00236,香港生力啤,0.0
00237,安全貨倉,10.58
00238,長興國際,0.0
00239,白花油,2.31
00240,利基控股,0.83
00241,阿里健康s,19.28
00242,信德集團s,2.64
00243,QPL INT'L,0.02
00244,先施,0.285
00245,中國民生金融s,0.09699999999999999
00247,尖沙咀置業集團s,0.0
00248,香港通訊國際控股,0.0
00250,中國數碼信息,0.043
00251,爪哇控股s,6.19
00252,華信地產財務,0.0
00253,順豪控股,0.0
00254,國家聯合資源,0.0
00255,龍記集團,2.25
00256,冠城鐘錶珠寶s,1.55
00257,中國光大國際s,4.43
00258,湯臣集團,1.72
00259,億都（國際控股）,1.42
00260,幸福控股,0.027000000000000003
00261,大灣區投資控股s,0.0
00262,迪臣發展國際,0.0
00263,高富集團控股,0.0
00264,中聯發展控股,1.0
00265,東勝旅遊,0.066
00266,天德地產s,0.0
00267,中信股份s,7.55
00268,金蝶國際s,12.0
00269,中國資源交通,0.01
00270,粵海投資s,15.86
00271,亞證地產,1.02
00272,瑞安房地產s,1.3
00273,茂宸集團s,0.02
00274,中富資源,0.0
00275,凱華集團,0.0
00276,蒙古能源,0.42
00277,太興置業,0.0
00278,華廈置業,0.0
00279,民眾金融科技,0.0
00280,景福集團,0.255
00281,川河集團,0.45
00282,壹傳媒,0.147
00285,比亞迪電子s,16.38
00286,愛帝宮s,0.455
00287,永發置業,8.47
00288,萬洲國際s,7.78
00289,永安國際有限公司s,0.0
00290,中國富強金融,0.046
00291,華潤啤酒s,36.55
00292,泛海酒店,0.0
00293,國泰航空s,9.1
00294,長江製衣,0.0
00295,江山控股,0.06
00296,英皇娛樂酒店,1.15
00297,中化化肥s,0.68
00298,莊士中國,0.385
00299,寶新置地,0.68
00301,三和精化,1.01
00302,中手游s,2.68
00303,VTech Holdingss,57.25
00305,五菱汽車,0.21
00306,冠忠巴士集團,2.63
00307,優派能源發展,0.0
00308,香港中旅s,1.09
00309,新華通訊頻媒,0.085
00310,嘉進投資國際,0.0
00311,聯泰控股,0.405
00312,歲寶百貨,1.24
00313,裕田中國,0.0
00315,數碼通電訊s,4.93
00316,東方海外國際s,0.0
00317,中船防務s,5.05
00318,黃河實業,0.0
00320,金寶通,0.345
00321,德永佳集團s,1.3
00322,康師傅控股s,14.0
00323,馬鞍山鋼鐵股份s,2.22
00326,中國星集團,1.75
00327,百富環球s,3.13
00328,愛高集團有限公司,0.21
00329,東建國際,0.0
00330,思捷環球s,0.71
00331,豐盛服務集團,3.3
00332,元亨燃氣,0.39
00333,黛麗斯國際,0.0
00334,華顯光電,0.43
00335,美建集團,0.0
00336,華寶國際s,2.93
00337,綠地香港s,2.87
00338,上海石油化工股份s,2.16
00339,核心經濟投資,0.23600000000000002
00340,潼關黃金,0.4
